Output from Radio_Raw_Data_Test.ino
7/9/15
Used MoteinoMega that was located on kitchen table
Davis ISS had a new battery




Davis ISS Radio test for MoteinoMega
RxTime	RSSI	chan	crc err	ID	packet
Got CRC error. 48 3A E8 3F F8 95 95 47    Seconds since last error: 138    Minutes running: 7.04

72567	-57	18	4	3	E2 00 84 80 01 00 1F DA 
2686	-70	19	4	3	52 00 84 FF 71 00 18 16 
2686	-59	20	4	3	62 00 84 FF C1 00 29 97 
2687	-59	21	4	3	82 00 84 29 A9 00 F7 18 
2686	-66	22	4	3	E2 00 84 80 01 00 1F DA 
2686	-64	23	4	3	52 00 84 FF 71 00 18 16 
2686	-58	24	4	3	42 00 84 FF C1 00 1C 9F 
2686	-70	25	4	3	82 00 84 29 A9 00 F7 18 
2686	-57	26	4	3	E2 00 84 80 01 00 1F DA 
2686	-63	27	4	3	52 00 84 FF 71 00 18 16 
2687	-66	28	4	3	92 00 84 03 01 98 3A FD 
2686	-65	29	4	3	82 00 84 29 A9 00 F7 18 
2686	-60	30	4	3	E2 00 84 80 01 00 1F DA 
2687	-59	31	4	3	52 00 84 FF 71 00 18 16 
2686	-65	32	4	3	A2 00 84 FE 29 00 39 8C 
2686	-65	33	4	3	82 00 84 29 A9 00 F7 18 
2687	-58	34	4	3	E2 00 84 80 01 00 1F DA 
2686	-68	35	4	3	52 00 84 FF 71 00 18 16 
RxTime	RSSI	chan	crc err	ID	packet
2686	-70	36	4	3	A2 00 84 FE 29 00 39 8C 
2675	-63	37	4	3	82 00 84 29 A9 00 F7 18 
2686	-58	38	4	3	E2 00 84 80 01 00 1F DA 
2686	-59	39	4	3	52 00 84 FF 71 00 18 16 
2686	-69	40	4	3	62 00 84 FF C1 00 29 97 
2687	-64	41	4	3	82 00 84 29 A9 00 F7 18 
2686	-68	42	4	3	E2 00 84 80 01 00 1F DA 
2686	-60	43	4	3	52 00 84 FF 71 00 18 16 
2687	-58	44	4	3	42 00 84 FF C1 00 1C 9F 
2686	-67	45	4	3	82 00 84 29 A9 00 F7 18 
2686	-59	46	4	3	E2 01 84 80 00 00 86 BA 
2687	-67	47	4	3	52 00 84 FF 71 00 18 16 
2685	-58	48	4	3	92 00 84 01 01 08 D7 24 
2685	-60	49	4	3	82 00 82 29 AB 00 B6 E3 
2685	-68	50	4	3	E2 00 82 80 03 00 5E 21 
2685	-59	0	4	3	52 00 82 FF 73 00 59 ED 
2685	-58	1	4	3	A2 00 82 FD 2B 00 21 27 
2685	-59	2	4	3	82 00 82 29 AB 00 B6 E3 
2687	-67	3	4	3	E2 00 83 80 01 00 4E F7 
2686	-60	4	4	3	52 00 83 FF 71 00 49 3B 
2686	-59	5	4	3	A2 00 83 FD 29 00 31 F1 
2687	-68	6	4	3	82 00 82 29 AB 00 B6 E3 
RxTime	RSSI	chan	crc err	ID	packet
2687	-69	7	4	3	E2 00 82 80 03 00 5E 21 
2674	-58	8	4	3	52 00 82 FF 73 00 59 ED 
2687	-67	9	4	3	62 00 82 FF C3 00 68 6C 
2686	-59	10	4	3	82 00 82 29 AB 00 B6 E3 
2686	-61	11	4	3	E2 00 82 80 03 00 5E 21 
2686	-63	12	4	3	52 00 82 FF 73 00 59 ED 
2686	-67	13	4	3	42 00 82 FF C3 00 5D 64 
2686	-59	14	4	3	82 01 82 29 AA 00 2F 83 
2686	-59	15	4	3	E2 00 82 80 02 00 6D 10 
2686	-59	16	4	3	52 00 82 FF 72 00 6A DC 
2686	-73	17	4	3	92 00 82 01 02 08 A5 EE 
