Output from Radio_Raw_Data_Test.ino
7/9/15
Used MoteinoMega that was located on kitchen table
Davis ISS had a new battery
Changed ID to 1 to see if CRC errors would get better, but it didn't help
got an error every 130 seconds on average
Packet interval was set too 2562



Davis ISS Radio test for MoteinoMega
RxTime	RSSI	chan	crc err	ID	packet
2561	-55	15	1	1	90 00 90 04 01 4C 6E 82 
2561	-57	16	1	1	80 00 90 2B 69 00 D5 3A 
2561	-66	17	1	1	E0 00 90 80 01 00 45 CC 
2561	-55	18	1	1	50 00 90 FF 71 00 42 00 
2561	-71	19	1	1	A0 00 90 C5 29 00 56 CE 
2561	-57	20	1	1	80 00 90 2B 69 00 D5 3A 
2561	-55	21	1	1	E0 00 90 80 01 00 45 CC 
2561	-65	22	1	1	50 00 90 FF 71 00 42 00 
2561	-66	23	1	1	A0 00 90 C5 29 00 56 CE 
2561	-57	24	1	1	80 00 90 2B 69 00 D5 3A 
2561	-69	25	1	1	E0 00 90 80 01 00 45 CC 
2561	-55	26	1	1	50 00 90 FF 71 00 42 00 
2561	-59	27	1	1	60 00 90 FF C1 00 73 81 
2561	-64	28	1	1	80 01 90 2B 69 00 7F 6B 
2562	-72	29	1	1	E0 00 90 80 01 00 45 CC 
2562	-55	30	1	1	50 00 90 FF 71 00 42 00 
2561	-58	31	1	1	40 00 90 FF C1 00 46 89 
2561	-65	32	1	1	80 00 90 2B 69 00 D5 3A 
2561	-58	33	1	1	E0 00 90 80 01 00 45 CC 
RxTime	RSSI	chan	crc err	ID	packet
2561	-58	34	1	1	50 00 90 FF 71 00 42 00 
2550	-65	35	1	1	90 00 90 04 01 5C 7C B3 
2561	-66	36	1	1	80 00 90 2B 69 00 D5 3A 
2561	-65	37	1	1	E0 00 90 80 01 00 45 CC 
2561	-56	38	1	1	50 00 90 FF 71 00 42 00 
2561	-55	39	1	1	A0 00 90 C0 29 00 BD 3E 
2562	-60	40	1	1	80 00 90 2B 69 00 D5 3A 
2561	-55	41	1	1	E0 00 90 80 01 00 45 CC 
2561	-63	42	1	1	50 00 90 FF 71 00 42 00 
2561	-57	43	1	1	A0 00 90 C0 29 00 BD 3E 
