Output from Radio_Raw_Data_Test.ino
7/9/15
Used MoteinoMega that was located on kitchen table
Davis ISS had a new battery
Changed ID to 1 to see if CRC errors would get better, but it didn't help
got an error every 120 seconds on average
Packet interval was set too 2555




Davis ISS Radio test for MoteinoMega
RxTime	RSSI	chan	crc err	ID	packet
2561	-63	41	2	1	80 00 67 2A 6B 00 4A 08 
2561	-62	42	2	1	E0 00 67 80 03 00 ED CE 
Got CRC error. 0C DF 48 12 A8 A5 B3 DF    Seconds since last error: 132    Minutes running: 7.91

69192	-63	18	3	1	80 00 67 2A 6B 00 4A 08 
2561	-59	19	3	1	E0 00 67 80 03 00 ED CE 
2561	-65	20	3	1	50 00 67 FF 73 00 EA 02 
2562	-60	21	3	1	60 00 67 FF C3 00 DB 83 
2561	-71	22	3	1	80 00 67 2A 6B 00 4A 08 
2561	-63	23	3	1	E0 00 67 80 03 00 ED CE 
2561	-64	24	3	1	50 00 67 FF 73 00 EA 02 
2561	-61	25	3	1	40 00 67 FF C3 00 EE 8B 
2562	-60	26	3	1	80 00 67 2A 6B 00 4A 08 
2561	-71	27	3	1	E0 00 67 80 03 00 ED CE 
2561	-68	28	3	1	50 00 67 FF 73 00 EA 02 
2561	-60	29	3	1	90 00 67 01 03 97 57 66 
2561	-60	30	3	1	80 00 67 2A 6B 00 4A 08 
2562	-64	31	3	1	E0 00 67 80 03 00 ED CE 
2561	-67	32	3	1	50 00 67 FF 73 00 EA 02 
2561	-69	33	3	1	A0 00 67 09 3B 00 AE 29 
2562	-63	34	3	1	80 00 67 2A 6B 00 4A 08 
RxTime	RSSI	chan	crc err	ID	packet
2561	-70	35	3	1	E0 00 67 80 03 00 ED CE 
2550	-59	36	3	1	50 00 67 FF 73 00 EA 02 
2561	-66	37	3	1	A0 00 67 09 3B 00 AE 29 
2561	-64	38	3	1	80 00 67 2A 6B 00 4A 08 
2562	-66	39	3	1	E0 00 67 80 03 00 ED CE 
2561	-67	40	3	1	50 00 67 FF 73 00 EA 02 
2561	-60	41	3	1	60 00 67 FF C3 00 DB 83 
2561	-63	42	3	1	80 00 67 2A 6B 00 4A 08 
Got CRC error. 89 98 38 CC 2C 42 C9 CE    Seconds since last error: 128    Minutes running: 10.05

69191	-59	18	4	1	90 00 71 00 01 07 B9 B3 
2561	-66	19	4	1	80 00 71 2A 69 00 10 54 
2561	-66	20	4	1	E0 00 71 80 01 00 B7 92 
2561	-60	21	4	1	50 00 71 FF 71 00 B0 5E 
2562	-66	22	4	1	A0 00 71 0A 39 00 AD 25 
2561	-67	23	4	1	80 00 71 2A 69 00 10 54 
2561	-60	24	4	1	E0 00 71 80 01 00 B7 92 
2561	-67	25	4	1	50 00 71 FF 71 00 B0 5E 
2561	-58	26	4	1	A0 00 71 0A 39 00 AD 25 
2561	-72	27	4	1	80 00 71 2A 69 00 10 54 
2562	-68	28	4	1	E0 00 71 80 01 00 B7 92 
2561	-68	29	4	1	50 00 71 FF 71 00 B0 5E 
2562	-58	30	4	1	60 00 71 FF C1 00 81 DF 
2561	-66	31	4	1	80 00 71 2A 69 00 10 54 
RxTime	RSSI	chan	crc err	ID	packet
2561	-68	32	4	1	E0 00 71 80 01 00 B7 92 
2549	-70	33	4	1	50 00 71 FF 71 00 B0 5E 
2561	-63	34	4	1	40 00 71 FF C1 00 B4 D7 
2561	-64	35	4	1	80 00 71 2A 79 00 13 27 
Got CRC error. C1 01 E6 01 06 00 B8 95    Seconds since last error: 115    Minutes running: 11.97

5124	-70	37	5	1	50 00 71 FF 71 00 B0 5E 
2561	-63	38	5	1	90 00 71 00 01 07 B9 B3 
2561	-66	39	5	1	80 00 71 2A 79 00 13 27 
2561	-65	40	5	1	E0 00 71 80 01 00 B7 92 
2561	-62	41	5	1	50 00 71 FF 71 00 B0 5E 
